;D37 4H vs 1H;;;D37 6H vs 1H;;;D37 8H vs 1H;;;D37 16H vs 1H;;;D37 24H vs 1H;;;W37 4H vs 1H;;;W37 6H vs 1H;;;W37 8H vs 1H;;;W37 16H vs 1H;;;W37 24H vs 1H;
Gene;log2(FC);P-adj;Gene;log2(FC);P-adj;Gene;log2(FC);P-adj;Gene;log2(FC);P-adj;Gene;log2(FC);P-adj;Gene;log2(FC);P-adj;Gene;log2(FC);P-adj;Gene;log2(FC);P-adj;Gene;log2(FC);P-adj;Gene;log2(FC);P-adj
DRO_0036;-1.818434598;3.78E-35;DRO_0036;-3.393474316;4.69E-244;DRO_0036;-3.582780203;3.57E-177;DRO_0036;-3.461422731;6.43E-76;DRO_0036;-3.24355149;4.36E-205;DRO_0036;-0.77538834;1.68E-11;DRO_0036;-2.325819095;1.86E-80;DRO_0036;-3.013601931;1.78E-183;DRO_0036;-3.257244771;9.93E-171;DRO_0036;-2.59688987;2.72E-155
DRO_0037;-1.885522136;1.94E-31;DRO_0037;-3.235868069;4.92E-81;DRO_0037;-3.598373776;2.74E-68;DRO_0037;-3.07988948;5.87E-49;DRO_0037;-2.654933668;6.26E-90;DRO_0037;-1.113008154;3.74E-23;DRO_0037;-2.394446757;7.57E-42;DRO_0037;-3.064836241;1.57E-102;DRO_0037;-2.620103237;1.26E-71;DRO_0037;-2.502652082;2.87E-106
DRO_0038;-0.468474187;0.004123412;DRO_0038;-0.562730694;0.000502475;DRO_0038;-1.063068887;3.11E-07;DRO_0038;-0.84265809;0.000116814;DRO_0038;-0.527420108;0.001075756;DRO_0038;-0.273240591;0.084025621;DRO_0038;-0.286141638;0.18025218;DRO_0038;0.007862138;0.959565163;DRO_0038;0.231223707;0.129136454;DRO_0038;-0.463252499;0.000857918
DRO_0039;0.106264733;0.522439627;DRO_0039;0.164368153;0.319256932;DRO_0039;0.537019208;0.000411636;DRO_0039;1.037838794;8.27E-09;DRO_0039;0.204240947;0.167205012;DRO_0039;-0.076348673;0.561283514;DRO_0039;0.097620162;0.619284217;DRO_0039;0.292842471;0.004466963;DRO_0039;-0.21004678;0.070103394;DRO_0039;-0.682482274;2.57E-12
DRO_0042;0.094787739;0.549245874;DRO_0042;0.273300538;0.033991513;DRO_0042;-0.11345279;0.535870841;DRO_0042;0.395610222;0.040617592;DRO_0042;0.564790125;2.52E-05;DRO_0042;0.31623538;0.024786627;DRO_0042;0.465596374;0.016158074;DRO_0042;0.783288976;3.15E-10;DRO_0042;1.659308818;1.73E-38;DRO_0042;1.72677177;1.02E-55
DRO_0043;0.274966392;0.026932903;DRO_0043;0.416594787;0.000112864;DRO_0043;0.064988412;0.644089096;DRO_0043;0.255723663;0.069077698;DRO_0043;-0.18239763;0.157396415;DRO_0043;0.554595252;4.24E-06;DRO_0043;0.58831;4.53E-05;DRO_0043;0.448159662;7.61E-05;DRO_0043;0.617815333;3.59E-07;DRO_0043;0.237725443;0.034443429
DRO_0044;-0.183615874;0.121216536;DRO_0044;-0.091569751;0.453613044;DRO_0044;-0.294661438;0.021840977;DRO_0044;0.032008739;0.835101559;DRO_0044;0.298442994;0.005919333;DRO_0044;0.2843845;0.016861411;DRO_0044;0.078588128;0.619136347;DRO_0044;0.259443326;0.018579286;DRO_0044;0.714542208;1.17E-09;DRO_0044;1.031024436;3.00E-23
DRO_0045;-0.885027394;7.58E-10;DRO_0045;-1.12657506;4.98E-15;DRO_0045;-0.581053504;0.000152879;DRO_0045;-0.554500326;0.018999409;DRO_0045;0.990731339;1.37E-14;DRO_0045;-0.393569611;0.006535994;DRO_0045;-0.637479928;0.000174583;DRO_0045;-0.648732069;1.15E-06;DRO_0045;0.397240771;0.00549856;DRO_0045;2.293783984;1.86E-67
DRO_0046;-0.071798686;0.620890292;DRO_0046;-0.348511159;0.00633422;DRO_0046;-0.263431985;0.096335712;DRO_0046;-0.167118562;0.437664345;DRO_0046;1.562919861;1.46E-39;DRO_0046;1.228850175;1.55E-19;DRO_0046;0.606874454;5.14E-05;DRO_0046;-0.122522462;0.414486504;DRO_0046;1.626620582;1.23E-29;DRO_0046;2.708155456;8.28E-158
DRO_0047;0.877935457;9.03E-06;DRO_0047;1.680107537;2.55E-21;DRO_0047;2.147742151;9.39E-26;DRO_0047;2.438919378;6.95E-35;DRO_0047;2.431662038;1.12E-51;DRO_0047;1.17309444;2.12E-10;DRO_0047;0.575557952;0.012585658;DRO_0047;1.338929611;1.75E-13;DRO_0047;1.836960622;2.52E-22;DRO_0047;1.840047754;3.44E-31
