;D37 4H vs 1H;;;D37 6H vs 1H;;;D37 8H vs 1H;;;D37 16H vs 1H;;;D37 24H vs 1H;;;W37 4H vs 1H;;;W37 6H vs 1H;;;W37 8H vs 1H;;;W37 16H vs 1H;;;W37 24H vs 1H;
Gene;log2(FC);P-adj;Gene;log2(FC);P-adj;Gene;log2(FC);P-adj;Gene;log2(FC);P-adj;Gene;log2(FC);P-adj;Gene;log2(FC);P-adj;Gene;log2(FC);P-adj;Gene;log2(FC);P-adj;Gene;log2(FC);P-adj;Gene;log2(FC);P-adj
DRO_1891;1.333832787;1.92E-42;DRO_1891;2.80430695;4.28E-181;DRO_1891;3.916871939;0;DRO_1891;3.201862903;8.61E-72;DRO_1891;-0.316943301;0.009589817;DRO_1891;0.220573475;0.05281653;DRO_1891;0.634201396;1.64E-05;DRO_1891;1.312812278;1.19E-41;DRO_1891;-0.211012295;0.070450044;DRO_1891;-1.472979471;1.09E-59
DRO_1892;-0.111440477;0.608928807;DRO_1892;-0.218686297;0.219613006;DRO_1892;0.669768749;6.92E-05;DRO_1892;0.154986358;0.514119409;DRO_1892;-1.861990974;2.25E-23;DRO_1892;-0.398988198;0.05654494;DRO_1892;-0.580280186;0.018535481;DRO_1892;-0.354666977;0.089427767;DRO_1892;-0.427139883;0.034433652;DRO_1892;-1.169756747;7.51E-09
DRO_1893;-0.064882958;0.572895177;DRO_1893;0.10195904;0.335740046;DRO_1893;-0.268513308;0.049313201;DRO_1893;-0.826907403;2.36E-08;DRO_1893;-1.934874979;6.32E-64;DRO_1893;0.335395123;0.000566926;DRO_1893;-0.225726307;0.068215285;DRO_1893;-0.61917536;6.77E-10;DRO_1893;-0.345968768;0.002199312;DRO_1893;-1.478762414;1.44E-61
DRO_1894;1.4966922;8.04E-60;DRO_1894;1.723005647;2.44E-90;DRO_1894;1.769880314;3.25E-65;DRO_1894;2.240700516;4.22E-75;DRO_1894;1.818278923;3.67E-65;DRO_1894;-0.029453203;0.801783036;DRO_1894;-0.482537904;0.000100914;DRO_1894;-0.772738675;3.13E-16;DRO_1894;0.292340393;0.016382216;DRO_1894;0.191390536;0.035609669
DRO_1896;0.370968143;0.00028978;DRO_1896;0.26953893;0.008860804;DRO_1896;0.210695276;0.081392541;DRO_1896;0.521880245;0.000445787;DRO_1896;0.683742978;2.71E-08;DRO_1896;-0.013922349;0.925434431;DRO_1896;-0.191999102;0.196417663;DRO_1896;-1.453958011;4.17E-55;DRO_1896;-1.418311724;2.07E-36;DRO_1896;-1.520976176;1.54E-68
DRO_1897;-0.328296359;0.025897995;DRO_1897;-0.797045252;1.86E-09;DRO_1897;-1.170593713;1.70E-12;DRO_1897;-0.615825607;0.000130557;DRO_1897;0.572746605;0.000189331;DRO_1897;-0.353996317;0.013966205;DRO_1897;-0.808183897;1.38E-06;DRO_1897;-1.270547678;2.46E-18;DRO_1897;-0.759877171;1.69E-07;DRO_1897;-0.578104926;1.36E-06
DRO_1898;0.500676527;0.065107186;DRO_1898;-0.262060143;0.42902057;DRO_1898;-1.001302243;0.011301266;DRO_1898;-0.302317689;0.444863427;DRO_1898;0.822979197;0.000626376;DRO_1898;-0.155556579;0.685890988;DRO_1898;-0.385385848;0.357698145;DRO_1898;-1.076223265;0.010020208;DRO_1898;-0.413962997;0.239778512;DRO_1898;-0.167698635;0.606294556
DRO_1899;1.11722986;9.17E-28;DRO_1899;1.049026761;5.39E-28;DRO_1899;1.053773746;1.75E-21;DRO_1899;0.499763402;0.002624846;DRO_1899;-1.969689064;4.76E-47;DRO_1899;-0.267574925;0.083238517;DRO_1899;-1.050212805;2.10E-08;DRO_1899;-1.824245691;1.09E-35;DRO_1899;-2.467288428;5.99E-53;DRO_1899;-2.811048567;3.83E-79
DRO_1900;1.352832571;3.14E-42;DRO_1900;1.534760092;1.03E-45;DRO_1900;1.480785921;6.01E-33;DRO_1900;0.341963329;0.104406032;DRO_1900;-2.116098023;4.78E-46;DRO_1900;-0.172875691;0.113945217;DRO_1900;-0.425793184;0.016508476;DRO_1900;-1.658908552;7.04E-61;DRO_1900;-2.663166928;5.99E-81;DRO_1900;-2.981560544;1.20E-194
DRO_1901;0.39025003;0.004461102;DRO_1901;0.299089287;0.018448342;DRO_1901;-0.029188445;0.852748713;DRO_1901;0.059371924;0.757474665;DRO_1901;-0.767625282;1.04E-08;DRO_1901;-0.375039315;0.004962792;DRO_1901;-0.699636189;0.000289348;DRO_1901;-0.552750334;7.58E-05;DRO_1901;0.165928951;0.220939943;DRO_1901;0.322681745;0.008450745
DRO_1902;-0.448315056;0.007622034;DRO_1902;0.302507517;0.044995325;DRO_1902;0.028846712;0.880453184;DRO_1902;0.211132873;0.355451831;DRO_1902;-0.782332145;5.93E-07;DRO_1902;-0.163126639;0.327132052;DRO_1902;0.42195225;0.045861284;DRO_1902;0.628632987;2.45E-05;DRO_1902;0.452666365;0.002843793;DRO_1902;-0.177612535;0.196543187
DRO_1903;0.37727659;0.022307074;DRO_1903;-0.945067224;4.40E-07;DRO_1903;-0.54829747;0.005619819;DRO_1903;0.385812031;0.096400093;DRO_1903;0.673146511;1.02E-05;DRO_1903;-0.861975511;4.24E-06;DRO_1903;-1.295555548;1.36E-08;DRO_1903;-1.365336163;3.78E-11;DRO_1903;0.414978542;0.017708505;DRO_1903;0.955056209;1.73E-09
DRO_1904;0.910392374;8.90E-16;DRO_1904;1.047582992;4.12E-28;DRO_1904;0.962260042;2.72E-11;DRO_1904;1.307592091;1.41E-23;DRO_1904;1.929027884;1.44E-50;DRO_1904;0.384604583;0.003741843;DRO_1904;0.658321251;2.12E-05;DRO_1904;1.294317531;1.34E-29;DRO_1904;2.289600637;4.12E-74;DRO_1904;2.213992734;9.28E-120
DRO_1905;-0.054212035;0.74736561;DRO_1905;-0.334752691;0.017255376;DRO_1905;0.063913439;0.702028771;DRO_1905;-1.833225371;1.14E-25;DRO_1905;-1.874646237;3.72E-36;DRO_1905;-0.584641782;4.70E-07;DRO_1905;-0.853593841;7.08E-09;DRO_1905;-0.557606848;3.67E-07;DRO_1905;-1.792233328;5.97E-46;DRO_1905;-1.304266499;4.97E-33
DRO_1906;0.049733436;0.820407349;DRO_1906;-0.270401887;0.175455626;DRO_1906;0.328619632;0.101281137;DRO_1906;-1.755700865;1.21E-16;DRO_1906;-1.340752988;3.31E-12;DRO_1906;-0.641822891;0.000136341;DRO_1906;-1.07444964;5.66E-08;DRO_1906;-0.713445445;1.87E-05;DRO_1906;-1.717854915;3.52E-26;DRO_1906;-1.143339161;1.06E-13
DRO_1907;-0.303273097;0.077833612;DRO_1907;-3.642512678;6.03E-128;DRO_1907;-3.021977794;5.56E-77;DRO_1907;-2.072719607;1.10E-20;DRO_1907;-0.929288574;2.34E-08;DRO_1907;-0.661201356;0.000265271;DRO_1907;-3.467030925;1.01E-58;DRO_1907;-3.60373016;5.96E-84;DRO_1907;-1.390944065;1.09E-16;DRO_1907;-0.723583338;1.88E-05
DRO_1908;-0.610842368;7.54E-08;DRO_1908;-1.540841837;1.30E-38;DRO_1908;-1.755269542;1.66E-33;DRO_1908;-0.759480556;6.62E-06;DRO_1908;-0.688953461;2.22E-08;DRO_1908;-0.554361541;6.81E-06;DRO_1908;-1.245208869;2.23E-17;DRO_1908;-1.490895123;2.53E-32;DRO_1908;0.018394794;0.901748565;DRO_1908;0.527953462;4.47E-07
DRO_1909;-0.358911553;0.052726233;DRO_1909;1.339276758;4.84E-13;DRO_1909;0.913379551;1.98E-06;DRO_1909;1.190506516;1.64E-05;DRO_1909;-0.512887749;0.004197884;DRO_1909;0.481877402;0.005169601;DRO_1909;0.181610623;0.548115702;DRO_1909;-0.272072103;0.087011003;DRO_1909;1.234068369;1.75E-19;DRO_1909;0.492681023;0.000154938
DRO_1911;-0.202334486;0.192444219;DRO_1911;-0.042249706;0.811913965;DRO_1911;-0.415996341;0.009383789;DRO_1911;-0.190952104;0.267665107;DRO_1911;-0.055598521;0.725619606;DRO_1911;0.230375651;0.052343319;DRO_1911;-0.64256359;0.00080596;DRO_1911;-1.192485397;8.19E-18;DRO_1911;0.649714129;1.75E-06;DRO_1911;1.868051868;2.29E-80
DRO_1912;0.012737994;0.934172508;DRO_1912;-0.179377545;0.144831254;DRO_1912;0.331395948;0.114390899;DRO_1912;0.401488234;0.141398391;DRO_1912;-1.129645202;1.93E-17;DRO_1912;-0.030299392;0.851561958;DRO_1912;0.141465474;0.461355999;DRO_1912;-0.050472713;0.719112632;DRO_1912;-0.133574705;0.46655688;DRO_1912;-0.311938331;0.012623146
DRO_1913;-0.103613585;0.36810935;DRO_1913;-0.017819052;0.875789286;DRO_1913;0.231357808;0.075598483;DRO_1913;-0.890845555;1.83E-09;DRO_1913;-0.324446396;0.007537546;DRO_1913;0.095618745;0.403772189;DRO_1913;0.011231386;0.943632736;DRO_1913;-0.163960101;0.133403211;DRO_1913;-0.224718777;0.095695995;DRO_1913;0.151218449;0.112149789
DRO_1914;-0.663035749;4.05E-06;DRO_1914;-0.305897222;0.10271141;DRO_1914;-0.651358818;0.000364911;DRO_1914;-0.722536822;8.57E-05;DRO_1914;-0.304125854;0.062269256;DRO_1914;-0.055524537;0.713076477;DRO_1914;-0.234263664;0.140030529;DRO_1914;-0.954821498;4.58E-12;DRO_1914;-0.181624851;0.200661567;DRO_1914;0.778026595;1.03E-12
DRO_1915;-1.493295449;9.26E-53;DRO_1915;-1.21824367;3.80E-42;DRO_1915;-0.601359714;0.00037982;DRO_1915;0.038256648;0.815447681;DRO_1915;-0.412290931;0.000166209;DRO_1915;-0.279233733;0.016517984;DRO_1915;-1.076946341;4.38E-14;DRO_1915;-1.145533696;3.52E-30;DRO_1915;0.113966155;0.331766822;DRO_1915;-0.678645201;8.69E-14
DRO_1916;-1.658129778;1.24E-45;DRO_1916;-1.297449527;1.56E-38;DRO_1916;-0.355064284;0.003394239;DRO_1916;-0.513607071;0.025145256;DRO_1916;-2.863050576;2.25E-179;DRO_1916;-0.423130314;0.007281395;DRO_1916;-0.930321812;4.06E-09;DRO_1916;-0.842816021;2.22E-10;DRO_1916;-2.006144301;3.82E-49;DRO_1916;-5.12655336;6.80E-282
DRO_1917;-0.678926115;2.06E-08;DRO_1917;-0.391683224;0.002233386;DRO_1917;-0.205687326;0.227417089;DRO_1917;0.542802352;0.001962041;DRO_1917;0.21582163;0.114250297;DRO_1917;0.749773888;1.65E-13;DRO_1917;0.236219728;0.108680765;DRO_1917;-0.132205066;0.177103581;DRO_1917;0.663876399;2.76E-09;DRO_1917;0.263253951;0.018457084
DRO_1918;-0.505577564;5.98E-05;DRO_1918;-0.209199706;0.145332941;DRO_1918;-0.025295194;0.902186886;DRO_1918;0.902653665;5.77E-10;DRO_1918;0.834503419;7.65E-10;DRO_1918;0.680999713;1.57E-09;DRO_1918;0.432852348;0.009004205;DRO_1918;-0.210395058;0.04248754;DRO_1918;0.970258833;4.18E-11;DRO_1918;0.65511285;2.47E-11
DRO_1919;-1.031350939;2.10E-15;DRO_1919;-0.937579623;1.06E-15;DRO_1919;-0.420845642;0.032480027;DRO_1919;0.756300264;2.41E-07;DRO_1919;0.960610144;1.35E-14;DRO_1919;0.508844456;3.06E-07;DRO_1919;-0.095918947;0.497527432;DRO_1919;-0.301223271;0.002830788;DRO_1919;1.145740725;1.76E-20;DRO_1919;0.99982428;1.85E-18
DRO_1920;-1.343794278;1.13E-38;DRO_1920;-1.176088361;2.27E-29;DRO_1920;-0.604583268;0.000300858;DRO_1920;0.932585636;6.25E-13;DRO_1920;0.789905315;8.98E-14;DRO_1920;0.309433241;0.014122282;DRO_1920;-0.166323733;0.372458409;DRO_1920;-0.552231208;2.80E-06;DRO_1920;1.341491748;7.84E-25;DRO_1920;0.606543866;9.35E-08
DRO_1921;-1.337872532;3.43E-25;DRO_1921;-1.362489122;4.33E-27;DRO_1921;-1.680560204;1.57E-23;DRO_1921;-1.532555182;9.23E-21;DRO_1921;-1.532569746;5.05E-30;DRO_1921;-0.769312449;3.71E-10;DRO_1921;-0.98607189;2.00E-11;DRO_1921;-0.935397266;9.47E-13;DRO_1921;-0.501520454;0.000112861;DRO_1921;-0.775764375;6.12E-12
DRO_1922;-0.699400238;4.37E-12;DRO_1922;-1.163223786;7.10E-26;DRO_1922;-1.801838849;2.05E-55;DRO_1922;-3.098311779;7.76E-54;DRO_1922;-4.800227856;2.81E-274;DRO_1922;-0.420948511;0.000176049;DRO_1922;-0.782101191;3.25E-06;DRO_1922;-1.749005226;8.79E-57;DRO_1922;-3.204947801;2.90E-189;DRO_1922;-3.66565116;0
DRO_1923;0.059749573;0.883559458;DRO_1923;-0.40211629;0.358809585;DRO_1923;-0.215012294;0.643722592;DRO_1923;0.291859565;0.533389944;DRO_1923;0.698539283;0.028918883;DRO_1923;-0.224133636;0.578501601;DRO_1923;-0.329156576;0.479343632;DRO_1923;-0.041106391;0.9186009;DRO_1923;0.997919765;0.000972913;DRO_1923;1.446026797;2.80E-07
DRO_1924;0.004660216;0.98301227;DRO_1924;-0.433508745;0.039932333;DRO_1924;-0.874877447;0.00031458;DRO_1924;-1.378324568;2.16E-07;DRO_1924;-1.010592411;1.13E-07;DRO_1924;-0.311720553;0.145832998;DRO_1924;-0.546230194;0.038688834;DRO_1924;-0.809916559;0.000373626;DRO_1924;-0.816920229;2.91E-05;DRO_1924;-0.8804934;3.18E-07
DRO_1925;0.09873113;0.571221659;DRO_1925;-0.343291733;0.025390149;DRO_1925;-0.530267418;0.001439504;DRO_1925;-0.550485333;0.003788238;DRO_1925;-0.046848646;0.760408619;DRO_1925;-0.062120276;0.761166032;DRO_1925;-0.321219672;0.157595783;DRO_1925;-0.526794161;0.000794882;DRO_1925;-0.569620357;0.000310107;DRO_1925;-0.568460603;0.000328945
DRO_1926;-0.340856525;0.005031399;DRO_1926;-0.838767018;2.06E-15;DRO_1926;-0.666137085;5.58E-07;DRO_1926;-0.93563223;8.32E-11;DRO_1926;-0.184574512;0.104513812;DRO_1926;-0.349173163;0.011209438;DRO_1926;-0.506266324;0.001244849;DRO_1926;-0.622422603;2.25E-06;DRO_1926;-0.886067088;4.15E-11;DRO_1926;-0.702260784;2.04E-08
DRO_1927;-0.012276767;0.934380773;DRO_1927;-0.056923642;0.628678168;DRO_1927;0.058558099;0.655911873;DRO_1927;-0.197943081;0.24745919;DRO_1927;0.051216606;0.665278907;DRO_1927;0.227266114;0.066419153;DRO_1927;-0.124847467;0.44439741;DRO_1927;0.094791328;0.453000611;DRO_1927;-0.181391961;0.176828921;DRO_1927;0.326178026;0.00395722
DRO_1928;-0.068209196;0.724008295;DRO_1928;-0.013396886;0.949717735;DRO_1928;0.024245751;0.89920753;DRO_1928;-0.263526891;0.209356818;DRO_1928;0.031649227;0.851571367;DRO_1928;0.591303864;0.000168785;DRO_1928;0.550033468;0.00290991;DRO_1928;0.733658901;1.10E-05;DRO_1928;0.341071105;0.045621013;DRO_1928;0.456999473;0.002564833
DRO_1929;0.015132241;0.943404462;DRO_1929;0.806959725;1.77E-15;DRO_1929;1.437154601;2.52E-16;DRO_1929;0.769614662;2.47E-06;DRO_1929;-0.068984079;0.644226281;DRO_1929;0.146888184;0.259345549;DRO_1929;0.146638659;0.466136515;DRO_1929;0.667239688;2.00E-09;DRO_1929;-0.06831676;0.660570981;DRO_1929;-0.310580456;0.006723884
DRO_1930;-0.089170965;0.550868669;DRO_1930;0.064772409;0.617501478;DRO_1930;-0.714995981;1.28E-06;DRO_1930;-0.825879562;2.19E-06;DRO_1930;0.20582393;0.113813895;DRO_1930;0.239059903;0.077653236;DRO_1930;0.486718631;0.002677973;DRO_1930;0.19077502;0.176282606;DRO_1930;0.840437807;3.31E-09;DRO_1930;0.585588028;2.07E-07
DRO_1931;-0.14405417;0.185454571;DRO_1931;0.340119353;0.00079767;DRO_1931;-0.307560886;0.027583731;DRO_1931;-0.475980832;0.012520234;DRO_1931;0.39490335;0.000138422;DRO_1931;-0.016662646;0.912824663;DRO_1931;0.157317822;0.237654036;DRO_1931;-0.074257746;0.497559206;DRO_1931;0.742361059;9.20E-12;DRO_1931;0.267057539;0.003578484
DRO_1932;-0.246287831;0.21990386;DRO_1932;0.02347998;0.916110274;DRO_1932;-0.200383923;0.38347628;DRO_1932;-0.127785749;0.624140652;DRO_1932;1.194607977;4.77E-13;DRO_1932;-0.225019602;0.298251562;DRO_1932;0.249814923;0.260877482;DRO_1932;0.0634662;0.73722832;DRO_1932;1.262547058;6.48E-15;DRO_1932;1.331461396;1.27E-20
DRO_1933;-0.741619009;3.15E-07;DRO_1933;-1.030815724;9.03E-13;DRO_1933;-1.618564185;5.47E-20;DRO_1933;-0.79529866;0.004086679;DRO_1933;0.570728985;9.25E-05;DRO_1933;-0.426694331;0.009113698;DRO_1933;-0.400071473;0.015501626;DRO_1933;-1.33330836;1.11E-17;DRO_1933;0.323499714;0.053395887;DRO_1933;0.486617274;0.000105867
DRO_1934;-0.369306472;0.007111924;DRO_1934;-0.329572819;0.008750361;DRO_1934;0.21762732;0.108137942;DRO_1934;2.149013047;1.65E-51;DRO_1934;1.827926057;3.05E-45;DRO_1934;0.269319762;0.028469621;DRO_1934;-0.162901537;0.420906751;DRO_1934;-0.369822707;0.002721617;DRO_1934;2.085389147;3.05E-76;DRO_1934;2.563139184;8.82E-167
DRO_1935;0.27030656;0.073497068;DRO_1935;-0.34910616;0.016776714;DRO_1935;-0.560996487;0.001059333;DRO_1935;-0.905635506;3.24E-06;DRO_1935;-0.285680486;0.048611708;DRO_1935;-0.060517935;0.742560384;DRO_1935;0.068069711;0.787317096;DRO_1935;0.051173336;0.730480373;DRO_1935;0.062249773;0.698732735;DRO_1935;0.698664894;1.70E-08
DRO_1936;0.245135527;0.209601733;DRO_1936;1.760651327;1.65E-21;DRO_1936;1.534719447;2.00E-17;DRO_1936;2.173300142;4.62E-23;DRO_1936;1.579699337;5.31E-21;DRO_1936;1.489210121;6.49E-22;DRO_1936;1.762199121;2.72E-16;DRO_1936;0.7900177;3.45E-08;DRO_1936;2.309781357;2.73E-47;DRO_1936;1.603037465;2.02E-21
DRO_1937;-0.098106962;0.547824663;DRO_1937;0.09500735;0.50121757;DRO_1937;1.044364441;1.00E-10;DRO_1937;2.336039039;7.00E-54;DRO_1937;0.643405669;6.91E-07;DRO_1937;-0.307794639;0.009701747;DRO_1937;-0.143656049;0.424402738;DRO_1937;0.523400592;3.19E-07;DRO_1937;0.449818664;0.000201456;DRO_1937;0.223643021;0.032745266
DRO_1938;-0.299008455;0.034667708;DRO_1938;0.06794536;0.556191335;DRO_1938;0.954660331;3.09E-12;DRO_1938;2.50893256;5.32E-89;DRO_1938;1.067787713;3.28E-22;DRO_1938;-0.480270694;7.99E-06;DRO_1938;-0.228383921;0.190533954;DRO_1938;0.450633981;3.15E-05;DRO_1938;0.642695249;8.75E-08;DRO_1938;0.206060266;0.027806823
DRO_1939;-0.319440356;0.106157177;DRO_1939;-0.355577714;0.094492193;DRO_1939;-0.709979506;0.001377273;DRO_1939;-0.273725755;0.283846355;DRO_1939;0.46952881;0.004286646;DRO_1939;-0.183479554;0.423571999;DRO_1939;-0.102498267;0.746448952;DRO_1939;-0.08037495;0.711786798;DRO_1939;0.457806482;0.024855067;DRO_1939;0.871364986;8.26E-07
DRO_1940;-0.103725312;0.533198957;DRO_1940;-0.121784954;0.439302044;DRO_1940;-0.541592845;0.001865569;DRO_1940;-0.241826921;0.203402043;DRO_1940;0.334806545;0.018757688;DRO_1940;-0.037019057;0.846325881;DRO_1940;0.334387149;0.131766793;DRO_1940;0.097499403;0.570997188;DRO_1940;0.863337899;4.61E-08;DRO_1940;1.219600344;2.31E-15
DRO_1941;-0.264944034;0.007434257;DRO_1941;0.139411143;0.115683016;DRO_1941;-0.209278636;0.051283847;DRO_1941;-3.149300322;2.67E-71;DRO_1941;-3.763321163;6.79E-304;DRO_1941;0.005545428;0.967067895;DRO_1941;0.558382907;0.012048297;DRO_1941;0.853226492;1.23E-15;DRO_1941;-1.339172573;2.19E-25;DRO_1941;-3.106198001;1.05E-187
DRO_1942;-0.328137747;0.025678861;DRO_1942;-0.424820408;0.000508767;DRO_1942;-0.203746954;0.221987676;DRO_1942;1.444680289;1.76E-21;DRO_1942;1.23905455;1.42E-08;DRO_1942;-1.023981266;2.85E-16;DRO_1942;-1.532600587;1.53E-22;DRO_1942;-1.570985234;2.39E-32;DRO_1942;-1.400882919;6.10E-26;DRO_1942;1.213250108;7.91E-22
DRO_1943;1.170274863;3.07E-17;DRO_1943;1.990875976;2.83E-48;DRO_1943;2.08331865;2.02E-47;DRO_1943;4.266413788;3.74E-132;DRO_1943;3.255538088;1.24E-100;DRO_1943;1.413598032;1.80E-31;DRO_1943;1.700128768;2.23E-21;DRO_1943;2.111804829;6.10E-74;DRO_1943;2.862502483;3.26E-75;DRO_1943;3.162652745;2.70E-190
DRO_1944;-0.4805046;0.000229083;DRO_1944;-0.203126025;0.078496366;DRO_1944;0.125360851;0.337574181;DRO_1944;-0.606760982;5.56E-06;DRO_1944;-0.524149273;3.39E-07;DRO_1944;-0.651431859;4.67E-08;DRO_1944;-0.374996969;0.001812345;DRO_1944;-0.166795778;0.104710255;DRO_1944;-0.401152583;0.000896892;DRO_1944;-1.380762134;3.24E-56
DRO_1945;-0.046157128;0.784100445;DRO_1945;-0.954992355;6.48E-11;DRO_1945;-1.641269229;1.39E-15;DRO_1945;-1.168230329;1.31E-09;DRO_1945;0.040646124;0.782523892;DRO_1945;-0.101878382;0.516822767;DRO_1945;-0.43594522;0.021748189;DRO_1945;-0.531152833;0.000333164;DRO_1945;-0.185142832;0.263300131;DRO_1945;0.81679427;1.31E-12
DRO_1946;0.023101352;0.862091552;DRO_1946;0.388793205;0.000383771;DRO_1946;1.154693237;9.56E-24;DRO_1946;2.113278981;9.80E-39;DRO_1946;-1.057892919;5.75E-17;DRO_1946;0.318054314;0.006823711;DRO_1946;0.438666285;0.001543557;DRO_1946;0.798322218;7.39E-13;DRO_1946;0.45051318;0.000219226;DRO_1946;-0.862725896;5.71E-15
DRO_1947;0.040674412;0.740308732;DRO_1947;0.686572928;8.74E-17;DRO_1947;1.181811321;1.06E-27;DRO_1947;1.936159337;9.70E-43;DRO_1947;-0.883786672;1.62E-14;DRO_1947;0.271539978;0.00438981;DRO_1947;0.472570062;0.000119875;DRO_1947;0.911111421;4.02E-24;DRO_1947;0.667015011;7.96E-10;DRO_1947;-0.167133896;0.066399535
DRO_1948;1.050306718;6.37E-15;DRO_1948;2.303869205;8.31E-145;DRO_1948;2.712179553;4.95E-102;DRO_1948;3.696685056;5.28E-193;DRO_1948;2.818795125;8.88E-135;DRO_1948;0.741804335;6.40E-12;DRO_1948;0.964851286;6.40E-08;DRO_1948;0.717934123;8.54E-11;DRO_1948;2.055799646;1.13E-79;DRO_1948;2.749822688;2.10E-187
DRO_1949;0.282537231;0.050784259;DRO_1949;0.533640916;1.16E-05;DRO_1949;0.759617578;1.07E-08;DRO_1949;3.112832623;2.16E-116;DRO_1949;2.275533285;2.00E-83;DRO_1949;0.006126742;0.973278795;DRO_1949;0.227019233;0.182605462;DRO_1949;0.282378322;0.05932041;DRO_1949;1.959838103;2.20E-48;DRO_1949;2.196503017;3.12E-88
DRO_1950;0.329073741;0.00065754;DRO_1950;1.104258628;3.92E-38;DRO_1950;1.522252834;1.89E-45;DRO_1950;3.670025572;1.32E-258;DRO_1950;2.010245386;6.94E-98;DRO_1950;-0.000735292;0.995979805;DRO_1950;0.475356665;0.000128285;DRO_1950;1.150666703;1.56E-38;DRO_1950;2.341475315;5.49E-112;DRO_1950;1.496879803;2.87E-54
DRO_1951;-0.347060329;0.021914551;DRO_1951;-0.389624686;0.004441591;DRO_1951;-0.934336461;3.07E-08;DRO_1951;-1.537438102;2.56E-11;DRO_1951;-1.882275285;1.93E-32;DRO_1951;-0.354768176;0.027321538;DRO_1951;-0.629490918;0.000718125;DRO_1951;-0.811988028;3.86E-07;DRO_1951;-0.167824979;0.288120913;DRO_1951;-0.981474151;1.99E-10
DRO_1952;0.674330895;9.98E-07;DRO_1952;1.205645024;4.97E-16;DRO_1952;1.116885227;2.55E-10;DRO_1952;-0.253563972;0.184154228;DRO_1952;-0.757745479;1.70E-07;DRO_1952;0.165065946;0.244675272;DRO_1952;0.882655919;1.75E-06;DRO_1952;1.28405888;2.02E-27;DRO_1952;1.066171368;2.35E-14;DRO_1952;-0.171755755;0.18165625
DRO_1953;-0.241564679;0.102513375;DRO_1953;0.037467622;0.794555917;DRO_1953;0.071423293;0.64663603;DRO_1953;-0.522633339;0.004119388;DRO_1953;-1.723745598;4.37E-31;DRO_1953;-0.037907203;0.818945096;DRO_1953;0.284774682;0.102430134;DRO_1953;1.229413581;4.78E-19;DRO_1953;0.776720624;2.91E-09;DRO_1953;-0.723916491;2.23E-08
DRO_1954;1.015671164;9.89E-08;DRO_1954;2.34250515;2.31E-31;DRO_1954;1.95781514;3.18E-20;DRO_1954;2.237032966;6.60E-25;DRO_1954;0.828814399;7.14E-06;DRO_1954;1.525396823;9.38E-26;DRO_1954;1.757013466;9.10E-22;DRO_1954;1.236457903;1.74E-25;DRO_1954;2.886103253;2.55E-96;DRO_1954;2.409077977;1.14E-99
DRO_1955;0.613864961;3.08E-06;DRO_1955;1.335095937;1.43E-18;DRO_1955;1.011502227;3.01E-12;DRO_1955;1.467347572;8.25E-21;DRO_1955;-0.016737787;0.910428303;DRO_1955;0.762290879;2.78E-10;DRO_1955;1.132985423;1.20E-11;DRO_1955;0.9629393;4.56E-19;DRO_1955;1.419822855;7.24E-25;DRO_1955;1.104126477;1.21E-18
DRO_1956;0.555999052;3.62E-09;DRO_1956;1.508746713;2.81E-60;DRO_1956;1.785273752;1.93E-68;DRO_1956;3.005746616;1.21E-148;DRO_1956;0.155551869;0.155522684;DRO_1956;0.50460073;3.70E-08;DRO_1956;0.865045662;9.32E-13;DRO_1956;1.530733034;8.31E-66;DRO_1956;0.907405398;2.09E-13;DRO_1956;-0.880363127;2.05E-24
DRO_1957;-0.414003551;0.008717886;DRO_1957;-0.610176214;4.67E-05;DRO_1957;-0.849938192;5.25E-08;DRO_1957;-1.979872774;5.84E-28;DRO_1957;-5.432427385;3.31E-296;DRO_1957;-0.904381869;6.45E-09;DRO_1957;-1.289777309;4.33E-11;DRO_1957;-2.733782273;2.30E-80;DRO_1957;-5.313058722;7.42E-269;DRO_1957;-6.677121768;0
DRO_1958;-0.865676079;3.16E-13;DRO_1958;-1.510348551;3.75E-37;DRO_1958;-1.640584012;3.53E-32;DRO_1958;-2.355362048;8.52E-41;DRO_1958;-2.274235401;3.79E-79;DRO_1958;-0.480334432;0.001815539;DRO_1958;-0.743278794;9.14E-05;DRO_1958;-0.843053316;4.94E-12;DRO_1958;-0.198547803;0.154789486;DRO_1958;-0.419757936;0.003176585
DRO_1959;-0.638646674;1.63E-09;DRO_1959;-1.093964469;1.12E-15;DRO_1959;-1.506748778;1.60E-28;DRO_1959;-2.274856191;5.83E-59;DRO_1959;-1.91270161;1.65E-58;DRO_1959;-0.447810546;4.53E-06;DRO_1959;-0.744975917;2.01E-09;DRO_1959;-1.995027379;1.33E-73;DRO_1959;-1.373540594;8.55E-32;DRO_1959;-1.002943936;1.47E-28
DRO_1960;-0.553684159;8.75E-06;DRO_1960;-0.751863276;4.23E-10;DRO_1960;-0.713657846;4.30E-09;DRO_1960;-1.024805165;3.14E-15;DRO_1960;-1.657367753;3.73E-37;DRO_1960;-0.072150188;0.587725541;DRO_1960;-0.013202945;0.943625649;DRO_1960;-0.42162875;3.59E-05;DRO_1960;0.056135469;0.644176344;DRO_1960;-0.10793783;0.31604298
